Frequency [Hz],62,125,188,250,312,375,438,500
1,54,0,0,0,0,0,0,0
2,171,1,0,0,0,0,0,0
3,203,2,0,0,0,0,0,0
4,257,1,0,0,0,0,0,0
5,254,1,0,0,0,0,0,0
6,287,0,0,0,0,0,0,0
7,309,5,0,0,0,0,0,0
8,278,1,0,0,0,0,0,0
9,294,4,0,0,0,0,0,0
10,282,16,2,0,0,0,0,0
15,1329,29,0,0,0,0,0,0
20,1312,90,0,0,0,0,0,0
24,598,59,4,0,0,0,0,0
29,792,124,7,0,0,0,0,0
35,632,78,2,0,0,0,0,0
39,407,35,1,0,0,0,0,0
44,171,36,1,0,0,0,0,0
50,218,99,0,0,0,0,0,0
53,198,53,0,0,0,0,0,0
59,918,440,3,0,0,0,0,0
63,1506,252,2,0,0,0,0,0
67,2736,779,6,0,0,0,0,0
71,4324,2435,28,0,0,0,0,0
77,5258,5341,203,2,0,0,0,0
83,4891,5082,256,4,0,0,0,0
91,3636,2193,63,0,0,0,0,0
100,1678,352,11,1,0,0,0,0
111,604,112,7,0,0,0,0,0
125,344,113,7,0,0,0,0,0
143,96,88,1,0,0,0,0,0
167,236,58,0,0,0,0,0,0
200,595,61,0,0,0,0,0,0
