CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python3.7 main.py
MEM 381.503906 1655727240.6094
MEM 382.070312 1655727240.7101
MEM 382.070312 1655727240.8108
MEM 382.070312 1655727240.9116
MEM 382.316406 1655727241.0125
MEM 391.316406 1655727241.1128
MEM 392.605469 1655727241.2135
MEM 395.046875 1655727241.3142
MEM 397.628906 1655727241.4148
MEM 426.324219 1655727241.5156
MEM 466.285156 1655727241.6164
MEM 503.667969 1655727241.7174
MEM 551.363281 1655727241.8181
MEM 603.699219 1655727241.9189
MEM 656.292969 1655727242.0197
MEM 702.441406 1655727242.1205
MEM 757.097656 1655727242.2211
MEM 805.050781 1655727242.3219
MEM 853.777344 1655727242.4228
MEM 906.113281 1655727242.5236
MEM 959.996094 1655727242.6242
MEM 1007.433594 1655727242.7251
MEM 1061.316406 1655727242.8259
MEM 1110.042969 1655727242.9266
MEM 1158.769531 1655727243.0274
MEM 1213.683594 1655727243.1283
MEM 1264.988281 1655727243.2291
MEM 1313.714844 1655727243.3299
MEM 1358.832031 1655727243.4307
MEM 1406.785156 1655727243.5316
MEM 1452.417969 1655727243.6324
MEM 1494.957031 1655727243.7330
MEM 1542.394531 1655727243.8338
MEM 1586.222656 1655727243.9346
MEM 1636.238281 1655727244.0354
MEM 1682.386719 1655727244.1363
MEM 1730.082031 1655727244.2370
MEM 1773.652344 1655727244.3377
MEM 1818.769531 1655727244.4384
MEM 1870.074219 1655727244.5393
MEM 1917.511719 1655727244.6400
MEM 1966.238281 1655727244.7408
MEM 2018.832031 1655727244.8416
MEM 2072.457031 1655727244.9422
MEM 2126.339844 1655727245.0429
MEM 2181.253906 1655727245.1435
MEM 2232.558594 1655727245.2442
MEM 2277.417969 1655727245.3448
MEM 2331.300781 1655727245.4455
MEM 2384.925781 1655727245.5461
MEM 2440.097656 1655727245.6468
MEM 2493.464844 1655727245.7474
MEM 2547.605469 1655727245.8481
MEM 2602.777344 1655727245.9487
MEM 2645.316406 1655727246.0493
MEM 2698.941406 1655727246.1500
MEM 2752.824219 1655727246.2506
MEM 2806.449219 1655727246.3512
MEM 2869.097656 1655727246.4518
MEM 3218.949219 1655727246.5525
MEM 3623.457031 1655727246.6528
MEM 4030.027344 1655727246.7534
MEM 4432.730469 1655727246.8541
MEM 4839.042969 1655727246.9547
MEM 5240.199219 1655727247.0554
MEM 5322.441406 1655727247.1560
MEM 5322.441406 1655727247.2567
MEM 2860.082031 1655727247.3568
MEM 2872.878906 1655727247.4574
MEM 2888.660156 1655727247.5581
MEM 2905.113281 1655727247.6587
MEM 2921.773438 1655727247.7595
MEM 2938.488281 1655727247.8601
MEM 2954.941406 1655727247.9608
MEM 2958.605469 1655727248.0614
MEM 2964.097656 1655727248.1621
MEM 2979.230469 1655727248.2622
MEM 2995.359375 1655727248.3629
MEM 3011.808594 1655727248.4635
MEM 3026.933594 1655727248.5641
MEM 3043.398438 1655727248.6648
MEM 3059.804688 1655727248.7654
MEM 3076.003906 1655727248.8661
MEM 3091.140625 1655727248.9667
MEM 3107.593750 1655727249.0673
MEM 3124.007812 1655727249.1680
MEM 3140.417969 1655727249.2686
MEM 3156.871094 1655727249.3693
MEM 3171.996094 1655727249.4700
MEM 3188.199219 1655727249.5706
MEM 3204.859375 1655727249.6713
MEM 3221.316406 1655727249.7719
MEM 3236.449219 1655727249.8725
MEM 3253.117188 1655727249.9731
MEM 3269.839844 1655727250.0737
MEM 3286.250000 1655727250.1744
MEM 3301.597656 1655727250.2750
MEM 3318.207031 1655727250.3757
MEM 3334.921875 1655727250.4764
MEM 3351.324219 1655727250.5768
MEM 3366.492188 1655727250.6775
MEM 3383.167969 1655727250.7781
MEM 3399.578125 1655727250.8788
MEM 3416.285156 1655727250.9794
MEM 3432.437500 1655727251.0801
MEM 3448.121094 1655727251.1808
MEM 3464.792969 1655727251.2814
MEM 3481.503906 1655727251.3820
MEM 3498.167969 1655727251.4826
MEM 3513.589844 1655727251.5833
MEM 3530.019531 1655727251.6839
MEM 3546.683594 1655727251.7846
MEM 3563.136719 1655727251.8853
MEM 3578.515625 1655727251.9859
MEM 3594.925781 1655727252.0867
MEM 3611.140625 1655727252.1873
MEM 3627.554688 1655727252.2880
MEM 3642.457031 1655727252.3886
MEM 3658.871094 1655727252.4893
MEM 3675.066406 1655727252.5899
MEM 3691.468750 1655727252.6906
MEM 3706.386719 1655727252.7912
MEM 3722.800781 1655727252.8919
MEM 3738.996094 1655727252.9926
MEM 3755.406250 1655727253.0932
MEM 3771.820312 1655727253.1939
MEM 3774.394531 1655727253.2945
MEM 3789.039062 1655727253.3952
MEM 3805.468750 1655727253.4958
MEM 3821.664062 1655727253.5965
MEM 3837.816406 1655727253.6971
MEM 3852.722656 1655727253.7978
MEM 3869.132812 1655727253.8985
MEM 3885.285156 1655727253.9991
MEM 3901.476562 1655727254.0998
MEM 3916.386719 1655727254.2004
MEM 3932.796875 1655727254.3011
MEM 3949.152344 1655727254.4017
MEM 3965.347656 1655727254.5024
MEM 3980.210938 1655727254.6029
MEM 3996.402344 1655727254.7036
MEM 4012.558594 1655727254.8042
MEM 4028.753906 1655727254.9049
MEM 4044.902344 1655727255.0055
MEM 4059.808594 1655727255.1062
MEM 4075.972656 1655727255.2068
MEM 4092.136719 1655727255.3075
MEM 4108.328125 1655727255.4081
MEM 4123.234375 1655727255.5088
MEM 4139.386719 1655727255.6094
MEM 4155.542969 1655727255.7101
MEM 4171.738281 1655727255.8107
MEM 4186.601562 1655727255.9114
MEM 4202.792969 1655727256.0121
MEM 4218.957031 1655727256.1128
MEM 4235.148438 1655727256.2134
MEM 4251.304688 1655727256.3141
MEM 4266.210938 1655727256.4147
MEM 4282.359375 1655727256.5154
MEM 4298.558594 1655727256.6160
MEM 4314.710938 1655727256.7167
MEM 4329.613281 1655727256.8173
MEM 4345.765625 1655727256.9180
MEM 4361.921875 1655727257.0186
MEM 4378.175781 1655727257.1193
MEM 4393.042969 1655727257.2199
MEM 4409.195312 1655727257.3206
MEM 4425.093750 1655727257.4208
MEM 4441.285156 1655727257.5215
MEM 4457.437500 1655727257.6222
MEM 4472.343750 1655727257.7229
MEM 4488.496094 1655727257.8235
MEM 4504.695312 1655727257.9242
MEM 4520.843750 1655727258.0248
MEM 4535.753906 1655727258.1255
MEM 4551.906250 1655727258.2261
MEM 4568.335938 1655727258.3268
MEM 4584.527344 1655727258.4274
MEM 4595.050781 1655727258.5281
MEM 4601.972656 1655727258.6287
MEM 4618.167969 1655727258.7294
MEM 4634.316406 1655727258.8300
MEM 4650.511719 1655727258.9307
MEM 4665.375000 1655727259.0313
MEM 4681.789062 1655727259.1321
MEM 4697.984375 1655727259.2327
MEM 4714.136719 1655727259.3334
MEM 4730.328125 1655727259.4340
MEM 4745.238281 1655727259.5347
MEM 4761.390625 1655727259.6353
MEM 4777.796875 1655727259.7360
MEM 4794.269531 1655727259.8367
MEM 4809.132812 1655727259.9373
MEM 4825.582031 1655727260.0380
MEM 4841.996094 1655727260.1386
MEM 4858.410156 1655727260.2392
MEM 4873.566406 1655727260.3399
MEM 4889.761719 1655727260.4406
MEM 4906.175781 1655727260.5412
MEM 4922.585938 1655727260.6419
MEM 4937.492188 1655727260.7426
MEM 4953.906250 1655727260.8432
MEM 4970.355469 1655727260.9439
MEM 4986.507812 1655727261.0445
MEM 5002.703125 1655727261.1452
MEM 5017.562500 1655727261.2458
MEM 5033.773438 1655727261.3465
MEM 5049.925781 1655727261.4471
MEM 5066.335938 1655727261.5478
MEM 5081.242188 1655727261.6484
MEM 5097.394531 1655727261.7491
MEM 5113.585938 1655727261.8497
MEM 5129.742188 1655727261.9504
MEM 5144.652344 1655727262.0510
MEM 5160.804688 1655727262.1518
MEM 5177.257812 1655727262.2524
MEM 5193.410156 1655727262.3528
MEM 5209.609375 1655727262.4535
MEM 5224.468750 1655727262.5541
MEM 5240.898438 1655727262.6547
MEM 5257.203125 1655727262.7554
MEM 5273.359375 1655727262.8560
MEM 5288.265625 1655727262.9567
MEM 5304.429688 1655727263.0573
MEM 5320.882812 1655727263.1580
MEM 5337.070312 1655727263.2586
MEM 5352.253906 1655727263.3593
MEM 5368.496094 1655727263.4599
MEM 5384.738281 1655727263.5606
MEM 5400.980469 1655727263.6613
MEM 5415.933594 1655727263.7620
MEM 5418.511719 1655727263.8627
MEM 5435.011719 1655727263.9633
MEM 5451.320312 1655727264.0640
MEM 5467.765625 1655727264.1646
MEM 5483.984375 1655727264.2653
MEM 5499.171875 1655727264.3659
MEM 5515.632812 1655727264.4665
MEM 5531.847656 1655727264.5672
MEM 5548.312500 1655727264.6678
MEM 5563.242188 1655727264.7685
MEM 5579.714844 1655727264.8692
MEM 5595.929688 1655727264.9698
MEM 5612.421875 1655727265.0705
MEM 5627.605469 1655727265.1711
MEM 5644.105469 1655727265.2719
MEM 5660.605469 1655727265.3725
MEM 5677.363281 1655727265.4732
MEM 5692.574219 1655727265.5738
MEM 5709.164062 1655727265.6745
MEM 5725.617188 1655727265.7751
