CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python main.py
MEM 1.695312 1657731037.5160
MEM 22.238281 1657731037.6163
MEM 36.960938 1657731037.7166
MEM 39.562500 1657731037.8169
MEM 45.988281 1657731037.9172
MEM 68.496094 1657731038.0177
MEM 68.496094 1657731038.1182
MEM 69.695312 1657731038.2187
MEM 69.695312 1657731038.3190
MEM 69.695312 1657731038.4195
MEM 69.695312 1657731038.5200
MEM 69.695312 1657731038.6204
MEM 69.695312 1657731038.7209
MEM 69.695312 1657731038.8214
MEM 69.953125 1657731038.9219
MEM 69.953125 1657731039.0223
MEM 69.953125 1657731039.1228
MEM 69.953125 1657731039.2232
MEM 70.320312 1657731039.3237
MEM 70.757812 1657731039.4241
MEM 71.101562 1657731039.5245
MEM 71.390625 1657731039.6250
MEM 71.695312 1657731039.7254
MEM 72.050781 1657731039.8257
MEM 72.097656 1657731039.9261
MEM 72.339844 1657731040.0266
MEM 72.343750 1657731040.1270
MEM 72.578125 1657731040.2274
MEM 73.039062 1657731040.3279
MEM 73.039062 1657731040.4284
MEM 73.039062 1657731040.5288
MEM 73.316406 1657731040.6293
MEM 73.320312 1657731040.7300
MEM 73.320312 1657731040.8303
MEM 73.667969 1657731040.9307
MEM 74.234375 1657731041.0310
MEM 75.066406 1657731041.1315
MEM 75.621094 1657731041.2319
MEM 76.109375 1657731041.3322
MEM 76.753906 1657731041.4326
MEM 76.753906 1657731041.5330
MEM 77.113281 1657731041.6334
MEM 77.113281 1657731041.7340
MEM 77.628906 1657731041.8346
MEM 77.628906 1657731041.9350
MEM 77.886719 1657731042.0353
MEM 77.886719 1657731042.1357
MEM 77.886719 1657731042.2362
MEM 78.238281 1657731042.3366
MEM 78.242188 1657731042.4369
MEM 78.242188 1657731042.5372
MEM 78.507812 1657731042.6378
MEM 79.906250 1657731042.7382
MEM 79.906250 1657731042.8385
MEM 79.906250 1657731042.9388
MEM 80.164062 1657731043.0392
MEM 80.164062 1657731043.1395
MEM 80.585938 1657731043.2398
MEM 81.011719 1657731043.3401
MEM 81.070312 1657731043.4405
MEM 81.070312 1657731043.5409
MEM 81.636719 1657731043.6413
MEM 81.636719 1657731043.7418
MEM 82.152344 1657731043.8420
MEM 82.152344 1657731043.9424
MEM 82.152344 1657731044.0427
MEM 82.152344 1657731044.1431
MEM 82.425781 1657731044.2435
MEM 82.925781 1657731044.3440
MEM 83.167969 1657731044.4444
MEM 83.167969 1657731044.5447
MEM 83.625000 1657731044.6450
MEM 83.625000 1657731044.7453
MEM 83.988281 1657731044.8458
MEM 83.988281 1657731044.9461
MEM 84.398438 1657731045.0464
MEM 85.175781 1657731045.1467
MEM 85.968750 1657731045.2471
MEM 85.968750 1657731045.3474
MEM 86.242188 1657731045.4479
MEM 86.500000 1657731045.5482
MEM 86.500000 1657731045.6487
MEM 86.500000 1657731045.7491
MEM 86.500000 1657731045.8495
MEM 86.742188 1657731045.9499
MEM 87.062500 1657731046.0503
MEM 87.421875 1657731046.1508
MEM 87.421875 1657731046.2513
MEM 87.882812 1657731046.3518
MEM 87.882812 1657731046.4524
MEM 88.179688 1657731046.5529
MEM 88.378906 1657731046.6533
MEM 88.378906 1657731046.7536
MEM 88.750000 1657731046.8541
MEM 89.007812 1657731046.9547
MEM 89.585938 1657731047.0551
MEM 89.585938 1657731047.1555
MEM 89.949219 1657731047.2559
MEM 90.910156 1657731047.3562
MEM 91.417969 1657731047.4568
MEM 91.417969 1657731047.5573
MEM 91.675781 1657731047.6578
MEM 91.933594 1657731047.7583
MEM 91.933594 1657731047.8588
MEM 92.191406 1657731047.9590
MEM 92.191406 1657731048.0595
MEM 92.191406 1657731048.1599
MEM 92.582031 1657731048.2604
MEM 92.855469 1657731048.3608
MEM 92.859375 1657731048.4613
MEM 92.859375 1657731048.5618
MEM 93.367188 1657731048.6621
MEM 93.695312 1657731048.7626
MEM 93.695312 1657731048.8628
MEM 93.695312 1657731048.9631
MEM 94.000000 1657731049.0634
MEM 94.000000 1657731049.1637
MEM 94.257812 1657731049.2641
MEM 94.773438 1657731049.3644
MEM 96.378906 1657731049.4648
MEM 103.839844 1657731049.5651
MEM 109.328125 1657731049.6654
MEM 111.843750 1657731049.7657
MEM 114.160156 1657731049.8660
MEM 115.421875 1657731049.9664
MEM 115.835938 1657731050.0668
MEM 115.835938 1657731050.1673
MEM 115.835938 1657731050.2678
MEM 115.835938 1657731050.3683
MEM 116.093750 1657731050.4689
MEM 116.093750 1657731050.5694
MEM 116.093750 1657731050.6699
MEM 116.351562 1657731050.7703
MEM 116.609375 1657731050.8707
MEM 116.839844 1657731050.9712
MEM 116.839844 1657731051.0718
MEM 116.839844 1657731051.1721
MEM 116.839844 1657731051.2726
MEM 116.839844 1657731051.3731
MEM 116.839844 1657731051.4736
MEM 116.839844 1657731051.5739
MEM 116.839844 1657731051.6744
MEM 116.839844 1657731051.7749
MEM 117.500000 1657731051.8753
MEM 117.500000 1657731051.9758
MEM 117.500000 1657731052.0763
MEM 118.531250 1657731052.1768
MEM 119.820312 1657731052.2773
MEM 119.820312 1657731052.3779
MEM 119.820312 1657731052.4783
MEM 119.820312 1657731052.5788
MEM 119.820312 1657731052.6792
MEM 119.820312 1657731052.7797
MEM 120.078125 1657731052.8802
MEM 120.851562 1657731052.9807
MEM 121.109375 1657731053.0810
MEM 121.109375 1657731053.1815
