CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python main.py
MEM 484.949219 1657730721.5059
MEM 484.949219 1657730721.6063
MEM 485.207031 1657730721.7067
MEM 485.207031 1657730721.8070
MEM 485.207031 1657730721.9074
MEM 485.207031 1657730722.0078
MEM 485.207031 1657730722.1081
MEM 485.207031 1657730722.2084
MEM 485.464844 1657730722.3088
MEM 485.464844 1657730722.4092
MEM 485.464844 1657730722.5096
MEM 485.464844 1657730722.6100
MEM 485.464844 1657730722.7104
MEM 485.722656 1657730722.8107
MEM 485.722656 1657730722.9111
MEM 485.722656 1657730723.0114
MEM 485.722656 1657730723.1118
MEM 485.722656 1657730723.2121
MEM 485.722656 1657730723.3125
MEM 485.722656 1657730723.4128
MEM 485.976562 1657730723.5132
MEM 485.976562 1657730723.6135
MEM 485.976562 1657730723.7139
MEM 485.976562 1657730723.8143
MEM 485.976562 1657730723.9146
MEM 486.230469 1657730724.0150
MEM 486.230469 1657730724.1153
MEM 486.230469 1657730724.2157
MEM 486.230469 1657730724.3160
MEM 486.230469 1657730724.4164
MEM 486.230469 1657730724.5167
MEM 486.488281 1657730724.6170
MEM 486.488281 1657730724.7174
MEM 486.488281 1657730724.8177
MEM 486.488281 1657730724.9180
MEM 486.488281 1657730725.0184
MEM 486.488281 1657730725.1187
MEM 486.488281 1657730725.2191
MEM 486.746094 1657730725.3194
MEM 486.746094 1657730725.4197
MEM 486.746094 1657730725.5201
MEM 486.746094 1657730725.6205
MEM 486.746094 1657730725.7208
MEM 486.746094 1657730725.8211
MEM 487.003906 1657730725.9215
MEM 487.003906 1657730726.0218
MEM 487.003906 1657730726.1222
MEM 487.003906 1657730726.2225
MEM 487.003906 1657730726.3229
MEM 487.003906 1657730726.4232
MEM 487.257812 1657730726.5236
MEM 487.257812 1657730726.6239
MEM 487.257812 1657730726.7243
MEM 487.257812 1657730726.8246
MEM 487.257812 1657730726.9250
MEM 487.257812 1657730727.0253
MEM 487.511719 1657730727.1257
MEM 487.511719 1657730727.2260
MEM 487.511719 1657730727.3264
MEM 487.511719 1657730727.4268
MEM 487.511719 1657730727.5271
MEM 487.511719 1657730727.6274
MEM 487.511719 1657730727.7278
MEM 487.769531 1657730727.8281
MEM 487.769531 1657730727.9285
MEM 487.769531 1657730728.0288
MEM 487.769531 1657730728.1291
MEM 487.769531 1657730728.2295
MEM 487.769531 1657730728.3298
MEM 488.027344 1657730728.4302
MEM 488.027344 1657730728.5305
MEM 488.027344 1657730728.6308
MEM 488.027344 1657730728.7312
MEM 488.027344 1657730728.8315
MEM 488.027344 1657730728.9319
MEM 488.027344 1657730729.0323
MEM 488.285156 1657730729.1326
MEM 488.285156 1657730729.2329
MEM 488.285156 1657730729.3333
MEM 488.285156 1657730729.4336
MEM 488.285156 1657730729.5340
MEM 488.285156 1657730729.6343
MEM 488.542969 1657730729.7347
MEM 488.542969 1657730729.8350
MEM 488.542969 1657730729.9354
MEM 488.542969 1657730730.0357
MEM 488.542969 1657730730.1361
MEM 488.542969 1657730730.2364
MEM 488.800781 1657730730.3367
MEM 488.800781 1657730730.4371
MEM 488.800781 1657730730.5374
MEM 489.316406 1657730730.6377
MEM 489.574219 1657730730.7381
MEM 490.089844 1657730730.8384
MEM 490.605469 1657730730.9387
MEM 490.863281 1657730731.0390
MEM 491.378906 1657730731.1394
MEM 491.695312 1657730731.2397
MEM 492.191406 1657730731.3401
MEM 492.449219 1657730731.4405
MEM 492.964844 1657730731.5409
MEM 493.480469 1657730731.6412
MEM 493.738281 1657730731.7415
MEM 494.253906 1657730731.8418
MEM 494.511719 1657730731.9422
MEM 495.027344 1657730732.0426
MEM 495.542969 1657730732.1429
MEM 495.800781 1657730732.2432
MEM 496.316406 1657730732.3435
MEM 496.574219 1657730732.4439
MEM 497.089844 1657730732.5442
MEM 497.347656 1657730732.6445
MEM 497.863281 1657730732.7449
MEM 498.378906 1657730732.8452
MEM 498.894531 1657730732.9455
MEM 499.152344 1657730733.0458
MEM 499.667969 1657730733.1462
MEM 499.925781 1657730733.2465
MEM 500.441406 1657730733.3468
MEM 500.957031 1657730733.4471
MEM 501.214844 1657730733.5475
MEM 501.730469 1657730733.6478
MEM 502.246094 1657730733.7482
MEM 502.503906 1657730733.8485
MEM 503.019531 1657730733.9491
MEM 503.277344 1657730734.0494
MEM 503.792969 1657730734.1497
MEM 504.050781 1657730734.2501
MEM 504.308594 1657730734.3504
MEM 504.824219 1657730734.4509
MEM 505.082031 1657730734.5512
MEM 505.597656 1657730734.6516
MEM 506.113281 1657730734.7519
MEM 506.628906 1657730734.8522
MEM 507.144531 1657730734.9526
MEM 507.660156 1657730735.0530
MEM 508.175781 1657730735.1534
MEM 508.691406 1657730735.2537
MEM 509.207031 1657730735.3541
MEM 509.722656 1657730735.4544
