CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python3.7 main.py
MEM 0.671875 1658235887.0623
MEM 29.953125 1658235887.1630
MEM 48.031250 1658235887.2631
MEM 62.550781 1658235887.3637
MEM 73.324219 1658235887.4643
MEM 82.953125 1658235887.5649
MEM 92.800781 1658235887.6655
MEM 96.957031 1658235887.7662
MEM 100.023438 1658235887.8668
MEM 102.015625 1658235887.9674
MEM 107.230469 1658235888.0682
MEM 121.593750 1658235888.1691
MEM 132.906250 1658235888.2697
MEM 142.699219 1658235888.3704
MEM 152.503906 1658235888.4710
MEM 159.941406 1658235888.5712
MEM 175.660156 1658235888.6719
MEM 180.054688 1658235888.7725
MEM 180.054688 1658235888.8732
MEM 180.054688 1658235888.9739
MEM 180.054688 1658235889.0746
MEM 180.054688 1658235889.1752
MEM 187.597656 1658235889.2759
MEM 194.742188 1658235889.3766
MEM 203.582031 1658235889.4772
MEM 219.175781 1658235889.5779
MEM 236.757812 1658235889.6786
MEM 248.250000 1658235889.7792
MEM 263.214844 1658235889.8798
MEM 267.332031 1658235889.9805
MEM 276.695312 1658235890.0812
MEM 289.351562 1658235890.1818
MEM 291.480469 1658235890.2824
MEM 295.734375 1658235890.3829
MEM 295.574219 1658235890.4831
MEM 300.363281 1658235890.5837
MEM 301.183594 1658235890.6844
MEM 301.183594 1658235890.7850
MEM 301.183594 1658235890.8856
MEM 301.183594 1658235890.9862
MEM 301.457031 1658235891.0868
MEM 302.992188 1658235891.1873
MEM 303.980469 1658235891.2880
MEM 303.980469 1658235891.3889
MEM 303.980469 1658235891.4896
MEM 303.980469 1658235891.5902
MEM 304.945312 1658235891.6909
MEM 304.945312 1658235891.7916
MEM 304.945312 1658235891.8922
MEM 304.945312 1658235891.9929
MEM 305.050781 1658235892.0935
MEM 306.183594 1658235892.1942
MEM 306.183594 1658235892.2949
MEM 306.183594 1658235892.3955
MEM 306.183594 1658235892.4961
MEM 307.519531 1658235892.5969
MEM 309.015625 1658235892.6974
MEM 310.613281 1658235892.7981
MEM 312.945312 1658235892.8986
MEM 313.054688 1658235892.9992
MEM 313.453125 1658235893.0998
MEM 313.851562 1658235893.2004
MEM 314.148438 1658235893.3011
MEM 314.148438 1658235893.4018
MEM 314.148438 1658235893.5025
MEM 314.250000 1658235893.6032
MEM 322.816406 1658235893.7038
MEM 324.050781 1658235893.8044
MEM 325.765625 1658235893.9050
MEM 329.003906 1658235894.0056
MEM 341.539062 1658235894.1062
MEM 357.539062 1658235894.2069
MEM 373.539062 1658235894.3075
MEM 389.539062 1658235894.4081
MEM 405.539062 1658235894.5087
MEM 423.539062 1658235894.6093
MEM 439.539062 1658235894.7099
MEM 455.539062 1658235894.8106
MEM 471.539062 1658235894.9112
MEM 487.539062 1658235895.0118
MEM 503.539062 1658235895.1124
MEM 521.539062 1658235895.2131
MEM 537.539062 1658235895.3137
MEM 553.539062 1658235895.4144
MEM 571.539062 1658235895.5150
MEM 587.539062 1658235895.6151
MEM 603.539062 1658235895.7157
MEM 619.539062 1658235895.8163
MEM 637.539062 1658235895.9169
MEM 653.539062 1658235896.0175
MEM 669.539062 1658235896.1181
MEM 687.539062 1658235896.2187
MEM 703.539062 1658235896.3192
MEM 719.539062 1658235896.4198
MEM 737.539062 1658235896.5204
MEM 753.539062 1658235896.6210
MEM 769.539062 1658235896.7216
MEM 787.539062 1658235896.8222
MEM 803.539062 1658235896.9228
MEM 819.539062 1658235897.0231
MEM 837.539062 1658235897.1237
MEM 853.539062 1658235897.2243
MEM 871.539062 1658235897.3249
MEM 887.539062 1658235897.4256
MEM 903.539062 1658235897.5262
MEM 921.539062 1658235897.6268
MEM 937.539062 1658235897.7271
MEM 955.539062 1658235897.8277
MEM 971.539062 1658235897.9283
MEM 989.539062 1658235898.0289
MEM 1005.539062 1658235898.1295
MEM 1021.539062 1658235898.2301
MEM 1039.539062 1658235898.3308
MEM 1055.539062 1658235898.4312
MEM 1071.539062 1658235898.5318
MEM 1089.539062 1658235898.6324
MEM 1105.539062 1658235898.7330
MEM 1123.539062 1658235898.8336
MEM 1139.539062 1658235898.9342
MEM 1157.539062 1658235899.0348
MEM 1173.539062 1658235899.1351
MEM 1237.003906 1658235899.2357
MEM 760.730469 1658235899.3363
MEM 777.132812 1658235899.4370
MEM 796.500000 1658235899.5376
MEM 801.093750 1658235899.6383
MEM 815.273438 1658235899.7391
MEM 816.562500 1658235899.8398
MEM 817.742188 1658235899.9404
MEM 1640.871094 1658235900.0414
MEM 2177.859375 1658235900.1439
MEM 2963.156250 1658235900.2450
MEM 2963.156250 1658235900.3462
MEM 2963.156250 1658235900.4473
